Gene_set	term	overlap	p_value	adj_p	Old P-value	Old Adjusted P-value	odds_ratio	combined_score	overlap_genes
GO_Biological_Process_2023	Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)	1/16	0.0023981585785517	0.0119907928927589	0	0	666.0666666666667	4018.416230915481	COX4I2
GO_Biological_Process_2023	Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)	1/43	0.0064363847273157	0.0126964037761181	0	0	237.5595238095238	1198.6750596729298	COX4I2
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	1/68	0.0101657622834467	0.0126964037761181	0	0	148.73134328358208	682.4879536219702	COX4I2
GO_Biological_Process_2023	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	1/70	0.0104637089013925	0.0126964037761181	0	0	144.40579710144928	658.467662524263	COX4I2
GO_Biological_Process_2023	Cellular Respiration (GO:0045333)	1/85	0.0126964037761181	0.0126964037761181	0	0	118.5297619047619	517.552677869987	COX4I2
