Gene_set	term	overlap	p_value	adj_p	Old P-value	Old Adjusted P-value	odds_ratio	combined_score	overlap_genes
GO_Cellular_Component_2023	Mitochondrial Respiratory Chain Complex IV (GO:0005751)	1/17	0.0025479169262706	0.002847388777574	0	0	624.40625	3729.2533063250894	COX4I2
GO_Cellular_Component_2023	Respiratory Chain Complex IV (GO:0045277)	1/19	0.002847388777574	0.002847388777574	0	0	554.9722222222222	3252.888056951129	COX4I2
